condition,n,raw,matched,lo,hi,matched_at_n
like,1359,0.7296,0.7122,0.7057,0.7191,1200
notInt,1200,0.6111,0.6111,0.6111,0.6111,1200
combined,1220,0.5763,0.575,0.5723,0.5763,1200
