firstSeen,watch,like,notInt,combined
2025-05-27,73,73,74,100
2025-05-28,182,120,50,112
2025-05-29,216,195,49,80
2025-05-30,0,0,0,0
2025-05-31,0,0,0,0
2025-06-01,0,0,0,0
2025-06-02,29,0,70,71
2025-06-03,326,329,291,507
2025-06-04,436,514,164,357
2025-06-05,406,271,331,189
2025-06-06,0,0,317,0
