count,persona,type,title,url,channel,channel_url,firstSeen,lastSeen
11,combined2gamer2012,video,"VALKYRIE PROFILE: LENNETH | AppSpy Review",/watch?v=XHXuHrqv6QA,"Pocket Gamer",/@PocketGamerVideo,2025-06-04T21:06:24.636Z,2025-06-06T02:05:39.679Z
10,combined2gamer2012,short,"Can you spot the fake experiment? - 2 Truths & Trash - S3E2R1 #shorts",/shorts/QRoMOMWX9gk,,,2025-06-04T09:06:26.439Z,2025-06-06T08:05:40.513Z
10,combined2gamer2012,short,"I Don't Know How I Feel About This Device | Anbernic RG Nano",/shorts/mxc4Za8rWT8,,,2025-06-04T23:06:28.219Z,2025-06-06T11:05:39.461Z
10,combined2gamer2012,short,"Owl core🦉#funny #owl #owls #owlsoftiktok #funnytiktok #fpy#foryou",/shorts/CN_gmjQhOjc,,,2025-05-27T05:06:52.510Z,2025-05-31T12:15:41.773Z
10,combined2gamer2012,short,"What’s the point of a tiny shield?",/shorts/jVmyKXf14Z8,,,2025-05-30T22:15:38.492Z,2025-05-31T16:15:39.137Z
9,combined2gamer2012,short,"Bunnies are so cute when they get angry and stomp feet!#rabbit",/shorts/5VrBJmBa5pY,,,2025-05-27T06:16:48.577Z,2025-05-30T06:16:25.369Z
9,combined2gamer2012,short,"Has Tetris changed?",/shorts/Wphbq6L0Urw,,,2025-06-04T06:06:26.969Z,2025-06-06T14:05:40.434Z
9,combined2gamer2012,short,"He Meows In Lowercase 🤣",/shorts/8p2TbRG_kAM,,,2025-05-31T08:15:38.641Z,2025-06-04T06:06:26.969Z
9,combined2gamer2012,short,"Red panda angry. Why do you have shoes. #redpanda #pandalife #animals #cute #trending",/shorts/Mfi3iRG1Ei4,,,2025-06-02T06:15:39.373Z,2025-06-06T14:05:40.434Z
9,combined2gamer2012,short,"Relaxed Ragnar raven giving a lesson on individuality. #crow",/shorts/Kczul_7LwzQ,,,2025-05-27T05:06:52.510Z,2025-05-30T00:16:28.841Z
9,combined2gamer2012,short,"This fox is so cute people think it's a toy",/shorts/CO6EfQmTJy0,,,2025-05-31T06:15:39.652Z,2025-06-06T01:05:39.776Z
9,combined2gamer2012,short,"Unboxing Balatro playing cards from Fangamer #balatro #nintendo #nintendoswitch #gaming #ps5 #indie",/shorts/hTeORIJolEs,,,2025-05-31T14:15:40.429Z,2025-06-02T06:15:39.373Z
9,combined2gamer2012,video,"Attempting to Explain All of Kirby Lore in a Single Video",/watch?v=eX4pjt0pzUI,"The Rpg Monger",/@TheRpgMonger,2025-06-05T09:06:24.807Z,2025-06-06T12:05:39.892Z
